CBSA Code,CBSA title,Population 2000,Population 2010,Percent change in population,Population-weighted density 2000,Population-weighted density 2010,Numeric change in population-weighted density 2000 to 2010
45460,"Terre Haute, IN Metro Area","170,943","172,425",0.9,"1,245.1","1,173.5",-71.6
45500,"Texarkana, TX-Texarkana, AR Metro Area","129,749","136,027",4.8,946.9,921.6,-25.3
45780,"Toledo, OH Metro Area","659,188","651,429",-1.2,"3,099.2","2,701.9",-397.3
45820,"Topeka, KS Metro Area","224,551","233,870",4.2,"1,672.3","1,595.3",-76.9
45940,"Trenton-Ewing, NJ Metro Area","350,761","366,513",4.5,"5,783.5","5,864.6",81.1
46060,"Tucson, AZ Metro Area","843,746","980,263",16.2,"3,416.7","3,213.0",-203.6
46140,"Tulsa, OK Metro Area","859,532","937,478",9.1,"2,053.7","1,980.2",-73.5
46220,"Tuscaloosa, AL Metro Area","192,034","219,461",14.3,"1,213.7","1,308.2",94.5
46340,"Tyler, TX Metro Area","174,706","209,714",20.0,"1,206.5","1,167.0",-39.5
46540,"Utica-Rome, NY Metro Area","299,896","299,397",-0.2,"2,080.8","2,186.4",105.5
46660,"Valdosta, GA Metro Area","119,560","139,588",16.8,"1,014.4","1,156.5",142.2
46700,"Vallejo-Fairfield, CA Metro Area","394,542","413,344",4.8,"4,883.4","4,502.1",-381.4
47020,"Victoria, TX Metro Area","111,663","115,384",3.3,"1,685.8","1,729.1",43.3
47220,"Vineland-Millville-Bridgeton, NJ Metro Area","146,438","156,898",7.1,"2,181.9","2,523.6",341.7
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","1,576,370","1,671,683",6.0,"3,589.3","4,084.1",494.8
47300,"Visalia-Porterville, CA Metro Area","368,021","442,179",20.2,"2,708.7","2,804.1",95.4
47380,"Waco, TX Metro Area","213,517","234,906",10.0,"1,891.2","1,743.0",-148.2
47580,"Warner Robins, GA Metro Area","110,765","139,900",26.3,"1,335.5","1,484.6",149.1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4,796,183","5,582,170",16.4,"6,251.8","6,388.1",136.3
47940,"Waterloo-Cedar Falls, IA Metro Area","163,706","167,819",2.5,"2,038.2","1,947.3",-90.8
48140,"Wausau, WI Metro Area","125,834","134,063",6.5,"1,007.9",912.3,-95.6
48300,"Wenatchee-East Wenatchee, WA Metro Area","99,219","110,884",11.8,"1,365.5","1,520.2",154.7
48540,"Wheeling, WV-OH Metro Area","153,172","147,950",-3.4,978.5,842.0,-136.5
48620,"Wichita, KS Metro Area","571,166","623,061",9.1,"2,368.7","2,265.6",-103.1
48660,"Wichita Falls, TX Metro Area","151,524","151,306",-0.1,"1,592.3","1,526.2",-66.0
48700,"Williamsport, PA Metro Area","120,044","116,111",-3.3,"1,864.8","1,747.5",-117.3
48900,"Wilmington, NC Metro Area","274,532","362,315",32.0,"1,073.7","1,232.1",158.4
49020,"Winchester, VA-WV Metro Area","102,997","128,472",24.7,"1,030.1","1,165.0",134.9
49180,"Winston-Salem, NC Metro Area","421,961","477,717",13.2,"1,134.4","1,202.6",68.2
49340,"Worcester, MA Metro Area","750,963","798,552",6.3,"2,922.9","2,885.2",-37.8
49420,"Yakima, WA Metro Area","222,581","243,231",9.3,"2,265.5","2,377.1",111.5
49620,"York-Hanover, PA Metro Area","381,751","434,972",13.9,"2,244.0","2,306.4",62.4
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area","602,964","565,773",-6.2,"1,841.7","1,569.8",-271.9
49700,"Yuba City, CA Metro Area","139,149","166,892",19.9,"2,073.0","2,206.1",133.1
49740,"Yuma, AZ Metro Area","160,026","195,751",22.3,"2,982.2","2,836.3",-145.9
