"SARPP Regional Price Parities by state"
"(index)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"10000","Delaware","2","  RPPs: Goods",103.573,102.028,101.606,102.579,99.506,97.214,95.728,97.215,98.606,96.294,96.595,95.517,94.838
"10000","Delaware","3","  RPPs: Services: Housing",92.974,103.342,100.504,101.262,98.669,101.292,106.245,100.154,97.122,93.568,91.991,97.001,96.792
"10000","Delaware","4","  RPPs: Services: Utilities",113.197,112.660,111.929,110.612,110.361,108.185,106.742,107.158,104.126,103.195,102.216,100.000,100.021
"10000","Delaware","5","  RPPs: Services: Other",100.828,100.821,101.455,98.983,99.299,98.671,100.974,98.923,99.703,101.100,100.613,101.675,100.305
"11000","District of Columbia","1","RPPs: All items",111.876,112.264,113.086,112.393,110.715,113.246,113.385,112.448,110.691,109.386,110.912,109.060,111.459
"11000","District of Columbia","2","  RPPs: Goods",112.274,112.870,109.595,107.930,105.908,110.902,105.634,105.582,106.221,104.825,107.139,104.897,106.492
"11000","District of Columbia","3","  RPPs: Services: Housing",160.610,165.057,182.761,174.216,177.863,180.744,189.321,176.901,166.921,170.946,170.710,168.992,168.888
"11000","District of Columbia","4","  RPPs: Services: Utilities",93.738,95.813,94.430,96.455,87.108,89.062,88.231,88.219,86.772,89.668,88.116,85.397,85.426
"11000","District of Columbia","5","  RPPs: Services: Other",105.399,105.051,105.740,105.890,104.166,105.263,107.041,106.744,104.700,102.727,104.183,102.362,104.113
"12000","Florida","1","RPPs: All items",101.779,100.873,100.774,101.224,101.290,101.015,101.035,101.517,101.479,101.291,100.688,99.946,100.711
"12000","Florida","2","  RPPs: Goods",98.973,97.074,97.269,97.350,98.007,98.602,98.310,97.377,97.523,98.506,97.969,96.302,97.573
"12000","Florida","3","  RPPs: Services: Housing",116.130,113.021,110.087,110.035,109.666,109.208,109.481,110.379,110.776,111.803,112.529,113.370,113.177
"12000","Florida","4","  RPPs: Services: Utilities",95.616,102.061,101.322,98.055,96.666,93.627,93.864,94.939,95.676,93.684,91.468,92.660,92.681
"12000","Florida","5","  RPPs: Services: Other",99.049,98.968,99.748,100.965,100.894,100.248,100.468,101.783,101.359,100.096,99.179,98.442,98.919
"13000","Georgia","1","RPPs: All items",94.780,92.300,95.152,94.049,95.706,95.311,95.327,95.095,95.503,95.606,95.137,94.836,94.541
"13000","Georgia","2","  RPPs: Goods",94.497,95.971,96.527,96.800,97.201,97.864,97.192,96.847,97.132,97.139,97.733,96.549,96.116
"13000","Georgia","3","  RPPs: Services: Housing",82.788,82.276,81.122,80.365,80.653,79.991,79.080,80.738,81.929,82.534,82.255,83.156,83.476
"13000","Georgia","4","  RPPs: Services: Utilities",107.625,108.576,116.018,116.181,113.542,110.491,111.662,111.904,112.227,106.851,107.066,109.657,109.672
"13000","Georgia","5","  RPPs: Services: Other",98.897,92.475,98.443,95.936,99.517,98.512,99.192,98.144,98.393,98.614,97.233,97.059,96.968
"15000","Hawaii","1","RPPs: All items",109.726,112.207,110.051,109.982,109.249,111.706,110.776,111.441,110.641,110.030,110.022,111.333,111.985
"15000","Hawaii","2","  RPPs: Goods",106.840,108.968,108.691,108.570,106.303,109.060,109.091,110.779,112.134,112.374,116.194,115.162,111.888
"15000","Hawaii","3","  RPPs: Services: Housing",163.241,156.689,157.573,154.783,154.069,159.183,157.250,160.865,155.176,155.062,146.388,150.564,150.186
"15000","Hawaii","4","  RPPs: Services: Utilities",122.284,109.464,115.390,123.473,135.100,126.031,120.331,110.731,101.640,103.313,103.183,104.929,104.946
"15000","Hawaii","5","  RPPs: Services: Other",98.981,103.037,99.145,99.376,99.067,100.730,99.804,99.892,99.139,98.077,98.144,99.909,100.691
"16000","Idaho","1","RPPs: All items",95.130,95.412,93.148,94.444,93.586,93.421,94.196,94.440,92.820,94.908,91.685,92.937,91.196
"16000","Idaho","2","  RPPs: Goods",99.303,100.679,99.171,99.734,98.210,96.359,97.254,100.506,99.656,101.161,96.053,98.784,95.415
"16000","Idaho","3","  RPPs: Services: Housing",79.990,79.655,75.836,75.987,75.695,76.810,78.682,75.409,74.413,75.163,76.909,77.414,77.460
"16000","Idaho","4","  RPPs: Services: Utilities",75.180,80.829,77.975,78.579,81.102,83.861,81.461,80.049,78.911,84.696,78.759,77.096,77.127
"16000","Idaho","5","  RPPs: Services: Other",100.513,100.158,98.284,100.650,99.420,99.670,99.709,99.492,96.913,99.611,95.494,96.434,95.210
"17000","Illinois","1","RPPs: All items",100.318,101.824,101.892,102.136,101.290,100.627,99.959,99.155,99.802,100.488,100.692,99.762,100.476
"17000","Illinois","2","  RPPs: Goods",99.434,101.771,102.272,102.754,101.175,99.988,100.547,98.775,98.273,100.165,101.745,103.108,102.700
"17000","Illinois","3","  RPPs: Services: Housing",101.969,104.355,104.543,103.727,102.799,103.197,102.885,103.047,101.220,99.675,99.984,97.407,97.396
