Institution,number
Nevada ,211
"U. NV, Las Vegas ",98
"U. NV, Reno ",113
,
New Hampshire ,165
"Antioch U., Keene ",3
Dartmouth C. ,92
Southern NH U. ,6
"U. NH, Durham ",64
,
New Jersey ,"1,035"
Drew U. ,20
"Fairleigh Dickinson U., Teaneck ",8
Montclair State U. ,6
NJ Institute of Technology ,67
Princeton Theological Seminary ,22
Princeton U. ,319
"Rutgers, State U. NJ, Camden ",3
"Rutgers, State U. NJ, New Brunswick ",368
"Rutgers, State U. NJ, Newark ",77
Seton Hall U. ,25
Stevens Institute of Technology ,49
U. of Medicine and Dentistry of NJ ,71
,
New Mexico ,326
NM Institute of Mining and Technology ,9
"NM State U., Las Cruces ",122
"U. NM, Albuquerque ",195
,
New York ,"4,206"
Adelphi U. ,28
Albany Medical C. ,8
Alfred U. ,2
"CUNY, City C. ",5
"CUNY, Graduate Ctr. ",450
Clarkson U. ,28
Columbia U. in the City of New York ,518
Cornell U. ,488
"Cornell U., Graduate School of Medical
  Sciences ",72
Fordham U. ,115
Hofstra U. ,11
Icahn School of Medicine at Mt. Sinai ,33
Jewish Theological Seminary of America ,4
Juilliard School ,1
"Long Island U., Brooklyn ",7
"Long Island U., Brookville ",3
NY Medical C. ,17
NY U. ,393
New School ,65
Polytechnic Institute of NY U. ,35
"Rensselaer Polytechnic U., Troy ",150
Rochester Institute of Technology ,25
Rockefeller U. ,17
"SUNY, Binghamton U. ",142
"SUNY, C. of Environmental Science
  and Forestry ",21
"SUNY, C. of Optometry ",2
"SUNY, Health Science Ctr. Brooklyn ",20
"SUNY, Stony Brook U. ",270
"SUNY, U. Albany ",171
"SUNY, U. Buffalo ",329
"SUNY, Upstate Medical U. ",16
"St. John's U., Queens ",25
Syracuse U. ,196
"Teachers C., Columbia U. ",211
U. Rochester ,245
Union Theological Seminary ,11
Yeshiva U. ,72
,
North Carolina ,"1,681"
Duke U. ,370
East Carolina U. ,40
NC Agricultural and Technical State U. ,29
NC State U. ,456
Southeastern Baptist Theological Seminary ,15
"U. NC, Chapel Hill ",496
"U. NC, Charlotte ",125
"U. NC, Greensboro ",97
"U. NC, Wilmington ",5
Wake Forest U. ,48
,
North Dakota ,141
ND State U. ,79
U. ND ,62
,
Ohio ,"1,839"
Air Force Institute of Technology ,39
"Bowling Green State U., Bowling Green ",76
Case Western Reserve U. ,162
Cleveland State U. ,44
"Hebrew Union C.-Jewish Institute of
  Religion, Cincinnati ",7
"Kent State U., Kent ",148
"Miami U., Oxford ",48
"OH State U., Columbus ",705
"OH U., Chillicothe ",107
"U. Akron, Akron ",97
"U. Cincinnati, Uptown West Campus ",230
U. Dayton ,30
U. Toledo ,107
"Wright State U., Dayton ",39
,
Oklahoma ,489
"OK State U., Health Sciences Ctr. ",1
"OK State U., Stillwater ",238
"U. OK, Norman ",222
U. Tulsa ,28
,
Oregon ,459
OR Health and Science U. ,41
"OR State U., Corvallis ",212
Portland State U. ,61
U. OR ,145
,
Pennsylvania ,"2,525"
Bryn Mawr C. ,12
Carnegie Mellon U. ,294
Drexel U. ,162
Duquesne U. ,65
Gannon U. ,8
Indiana U. PA ,72
Lehigh U. ,85
"Lutheran Theological Seminary, Philadelphia ",3
Marywood U. ,5
"PA State U., U. Park and Hershey
  Medical Ctr. ",677
Temple U. ,206
Thomas Jefferson U. ,20
U. PA ,443
"U. Pittsburgh, Pittsburgh ",419
U. of the Sciences in Philadelphia ,11
Villanova U. ,19
Westminster Theological Seminary ,4
"Widener U., Chester ",20
,
Puerto Rico ,149
"Carlos Albizu U., San Juan ",17
"Inter American U. PR, San Juan ",25
"Ponce School of Medicine and Health
  Sciences ",5
"Pontifical Catholic U. PR, Ponce ",21
"U. PR, Mayaguez ",28
"U. PR, Medical Sciences Campus ",7
"U. PR, Rio Piedras ",46
,
