GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",73218270,71940289,74906365,80636536,86638287,89170389,95516582,100343047,103044557,111706213,122277189,127057906,132117798
 "12540","Bakersfield, CA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",26383520,25423012,27783120,28163860,29185909,29888662,31663413,32670435,32504346,31859336,31340384,32392823,36686535
 "12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",129034144,124189581,129561418,129176390,133867255,132737588,137147019,142109702,145101637,145250136,150345323,154759779,159930575
 "12620","Bangor, ME (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",5513658,5745889,5678135,5750115,5693948,5504857,5876488,5912689,6104799,5975767,6149359,6198182,6699791
 "12700","Barnstable Town, MA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",10809227,10976521,11264179,11528626,11879994,11821288,12215403,12676738,12904415,13072211,13740936,13845725,14463765
 "12940","Baton Rouge, LA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",34872644,34911941,35068740,35764984,36603312,36908660,37581062,38229719,38500061,39517044,40829718,41786654,43369324
 "12980","Battle Creek, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",4827601,4799890,4914241,4968806,4943081,4885005,4912683,5281801,5250067,5365957,5314728,5323713,5919235
 "13020","Bay City, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",3948885,3951066,4112605,4118321,4085091,4061765,4074191,4367653,4353753,4408447,4479927,4409737,4835931
 "13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",15054610,15103576,15519398,15514861,16272958,15609429,16650955,17182515,16823062,17351757,17690669,17526786,17870305
 "13220","Beckley, WV (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",4520023,4989811,4754958,5206825,5165689,4740746,4755510,4815425,4754055,5001349,4998853,5018003,5167001
