GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "12980","Battle Creek, MI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",89.874,88.609,89.269,90.147,93.437,95.324,97.223,95.077,97.224,96.172,99.053,101.947,101.345
 "13020","Bay City, MI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",89.005,88.517,88.585,91.402,93.342,94.163,96.068,93.268,95.382,95.145,98.204,102.030,101.578
 "13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",88.452,87.176,89.622,93.666,93.785,95.624,96.976,96.919,98.972,98.858,98.619,101.286,103.945
 "13220","Beckley, WV (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",79.923,74.251,81.482,81.918,83.684,88.769,90.266,90.438,88.086,88.274,92.422,95.283,95.879
 "13380","Bellingham, WA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",91.316,95.661,95.242,101.427,101.110,100.905,104.180,103.197,103.607,107.394,113.403,113.113,113.771
 "13460","Bend, OR (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",94.635,93.611,92.848,94.730,96.557,98.091,101.522,104.119,106.000,108.824,111.972,113.316,113.689
 "13740","Billings, MT (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",90.205,90.998,90.299,96.105,97.580,97.747,99.672,100.839,98.525,102.788,101.787,104.907,104.254
 "13780","Binghamton, NY (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",91.761,91.301,92.615,94.798,95.362,97.707,97.165,100.358,101.031,102.547,103.293,103.853,105.344
 "13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",88.413,87.440,90.667,93.532,95.004,96.325,97.825,97.075,99.228,99.794,99.242,101.537,103.045
 "13900","Bismarck, ND (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",86.991,88.023,88.204,89.343,95.784,98.399,100.231,99.572,100.290,98.571,101.156,103.698,104.819
 "13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",85.529,83.921,87.860,90.704,91.136,94.439,95.373,95.858,94.753,94.852,101.825,100.791,101.750
 "14010","Bloomington, IL (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",91.264,91.185,92.905,93.379,96.015,96.727,99.410,98.683,98.951,99.002,103.246,105.145,104.770
 "14020","Bloomington, IN (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",89.359,90.991,91.429,94.403,95.300,96.665,98.913,97.585,97.750,99.189,101.734,104.819,104.905
 "14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",89.026,88.596,89.765,91.040,93.158,95.930,94.722,97.207,97.275,100.485,100.707,101.612,102.693
 "14260","Boise City, ID (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",89.342,92.096,91.538,95.262,96.623,96.661,98.848,97.612,97.263,102.025,101.109,104.749,103.967
 "14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",101.089,99.522,101.310,103.858,105.077,104.911,108.699,108.969,113.820,114.163,118.599,120.403,122.589
 "14500","Boulder, CO (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",101.389,99.147,99.335,104.116,107.233,108.198,108.783,109.560,109.385,111.122,109.926,114.709,114.093
 "14540","Bowling Green, KY (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",81.758,80.539,85.595,86.329,88.306,91.966,91.985,92.045,91.095,93.824,94.948,98.191,99.273
 "14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",100.123,99.287,98.629,101.943,103.593,104.048,107.170,107.093,111.566,114.180,115.168,116.425,117.338
 "14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",108.474,109.027,106.638,111.530,112.647,114.537,116.862,115.394,116.788,117.014,114.620,115.328,117.438
 "15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",82.052,81.246,85.329,88.438,89.809,90.227,92.272,92.544,94.014,94.483,92.963,97.676,99.832
 "15260","Brunswick, GA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",84.638,82.765,87.825,88.728,90.469,92.124,93.732,93.492,93.851,95.724,99.182,96.966,97.616
 "15380","Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",91.861,91.803,91.446,94.246,95.853,97.877,98.039,100.678,101.477,103.627,103.950,104.733,106.439
 "15500","Burlington, NC (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",87.698,86.913,88.983,92.470,93.462,95.448,95.939,95.603,97.192,98.109,98.714,99.755,100.448
 "15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",97.115,97.760,96.308,99.084,101.348,104.186,104.043,104.955,106.463,110.102,109.770,111.820,113.836
 "15680","California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",92.097,90.687,93.585,97.761,99.375,100.311,102.209,101.831,103.051,100.576,106.292,106.127,107.613
 "15940","Canton-Massillon, OH (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",87.936,86.813,88.581,89.369,91.849,93.090,94.504,94.168,94.727,95.078,97.396,98.882,98.360
